item_id,name,cubic_meters,rotation_c,packages,primary_supplier_price,pascal_price,family,subgroup,size,materials,commercial_status,heca_reference,woo_sku,notes,quantity_in_order,m3_template
780008,Futón Duo y Látex · 90x200x16 cm,0.45,0.02,1,124.21,,Futones,Futón Duo y Látex,90x200x16 cm ,Látex,Normal,0780008,,Import candidato desde PLANTILLA PEDIDO E-2026-03 + data.xlsx. Cantidad pedido: 3.0 Rotación C completada desde data.xlsx actualizado.,3.0,0.45
780010,Futón Duo y Látex · 150x200x16 cm,0.75,0.03,1,193.01,,Futones,Futón Duo y Látex,150x200x16 cm,Látex,Normal,0780010,,Import candidato desde PLANTILLA PEDIDO E-2026-03 + data.xlsx. Cantidad pedido: 1.0 Rotación C completada desde data.xlsx actualizado.,1.0,0.75
780014,Futón Duo y Látex · 200x200x16 cm,0.33,0.01,1,254.61,,Futones,Futón Duo y Látex,200x200x16 cm,Látex,Normal,0780014,,Import candidato desde PLANTILLA PEDIDO E-2026-03 + data.xlsx. Cantidad pedido: 1.0 Rotación C completada desde data.xlsx actualizado.,1.0,0.33
759005,"Futon Coco Plus · 90x200x14,5 cm",0.63,0.01,1,137.48,,Futones,f-1000 ( Futon Coco Plus),"90x200x14,5 cm",Coco,Normal,0759005,,Import candidato desde PLANTILLA PEDIDO E-2026-03 + data.xlsx. Cantidad pedido: 2.0 Rotación C completada desde data.xlsx actualizado.,2.0,0.63
759006,"Futon Coco Plus · 120x200x14,5 cm",0.32,0.02,1,171.3,,Futones,f-1000 ( Futon Coco Plus),"120x200x14,5 cm",Coco,Normal,0759006,,Import candidato desde PLANTILLA PEDIDO E-2026-03 + data.xlsx. Cantidad pedido: 2.0 Rotación C completada desde data.xlsx actualizado.,2.0,0.32
759007,"Futon Coco Plus · 140x200x14,5cm",0.7,0.02,1,199.85,,Futones,f-1000 ( Futon Coco Plus),"140x200x14,5cm",Coco,Normal,0759007,,Import candidato desde PLANTILLA PEDIDO E-2026-03 + data.xlsx. Cantidad pedido: 2.0 Rotación C completada desde data.xlsx actualizado.,2.0,0.7
759008,"Futon Coco Plus · 140x190x14,5 cm",0.7,0.02,1,189.86,,Futones,f-1000 ( Futon Coco Plus),"140x190x14,5 cm",Coco,Normal,0759008,,Import candidato desde PLANTILLA PEDIDO E-2026-03 + data.xlsx. Cantidad pedido: 1.0 Rotación C completada desde data.xlsx actualizado.,1.0,0.7
759009,"Futon Coco Plus · 180x200x14,5cm",0.81,0.01,1,256.95,,Futones,f-1000 ( Futon Coco Plus),"180x200x14,5cm",Coco,Normal,0759009,,Import candidato desde PLANTILLA PEDIDO E-2026-03 + data.xlsx. Cantidad pedido: 1.0 Rotación C completada desde data.xlsx actualizado.,1.0,0.81
759010,"Futon Coco Plus · 200x200x14,5cm",0.9,0.01,1,285.5,,Futones,f-1000 ( Futon Coco Plus),"200x200x14,5cm",Coco,Normal,0759010,,Import candidato desde PLANTILLA PEDIDO E-2026-03 + data.xlsx. Cantidad pedido: 1.0 Rotación C completada desde data.xlsx actualizado.,1.0,0.9
770002,"Futon Duo · 120x200x14,5 cm",0.54,0.02,1,76.23,,Futones,50 % Wool + 50% cotton ( 2 size),"120x200x14,5 cm","Algodón, Lana",Normal,0770002,,Import candidato desde PLANTILLA PEDIDO E-2026-03 + data.xlsx. Cantidad pedido: 2.0 Rotación C completada desde data.xlsx actualizado.,2.0,0.54
770008,"Futon Duo· 200x200x14,5 cm",0.9,0.02,1,127.05,,Futones,50 % Wool + 50% cotton ( 2 size),"200x200x14,5 cm","Algodón, Lana",Normal,0770008,,Import candidato desde PLANTILLA PEDIDO E-2026-03 + data.xlsx. Cantidad pedido: 1.0 Rotación C completada desde data.xlsx actualizado.,1.0,0.9
758087,Premium (winter/summer) · 120x200x17 cm,0.33,0.02,1,159.08,,Otros,Premium (winter/summer),120x200x17 cm,,Normal,0758087,,Import candidato desde PLANTILLA PEDIDO E-2026-03 + data.xlsx. Cantidad pedido: 1.0 Rotación C completada desde data.xlsx actualizado.,1.0,0.33
